Source,HelpTopic,KYC,ResolutionDurationMins,TimeOfDayOpened,Sentiment,DayOfWeekNum
Email,Access Requests,YYY,161.0,18.0,NEGATIVE,2
Email,Access Requests,N,41.0,17.0,,2
Email,Access Requests,N,44789.0,13.0,POSITIVE,2
Email,Access Requests,N,1062.0,17.0,NEGATIVE,2
Email,Access Requests,N,1062.0,17.0,POSITIVE,2
Email,Access Requests,N,44789.0,13.0,,2
Email,Access Requests,N,1062.0,17.0,,2
Email,Access Requests,N,1062.0,17.0,POSITIVE,2
Email,Access Requests,N,1062.0,17.0,NEGATIVE,2
Email,Access Requests,N,37.0,10.0,,3
Email,Access Requests,N,37.0,10.0,,3
Email,Access Requests,N,37.0,10.0,NEGATIVE,3
Email,Access Requests,N,226.0,13.0,NEGATIVE,3
Email,Access Requests,N,226.0,13.0,,3
Email,Access Requests,N,8.0,17.0,POSITIVE,3
Email,Access Requests,N,8.0,17.0,POSITIVE,3
Email,Hardware,YYY,12.0,14.0,NEGATIVE,3
Email,Access Requests,N,8.0,17.0,,3
Email,Network,YYY,12.0,21.0,NEGATIVE,3
Email,Access Requests,N,302.0,12.0,POSITIVE,3
Email,Access Requests,N,302.0,12.0,NEGATIVE,3
Email,Access Requests,N,302.0,12.0,,3
Email,Access Requests,N,302.0,12.0,POSITIVE,3
Email,Access Requests,N,226.0,13.0,POSITIVE,3
Email,Network,YYY,12.0,21.0,NEGATIVE,3
Email,Access Requests,N,176.0,11.0,,3
Email,Access Requests,N,2.0,11.0,POSITIVE,3
Email,Access Requests,N,176.0,11.0,NEGATIVE,3
Email,Access Requests,N,176.0,11.0,POSITIVE,3
Email,Jira Requests,YY,363.0,14.0,NEGATIVE,3
Email,Access Requests,N,2.0,11.0,,3
Email,Access Requests,N,899.0,21.0,NEGATIVE,3
Email,Access Requests,N,899.0,21.0,,3
Email,Access Requests,N,899.0,21.0,POSITIVE,3
Email,Access Requests,N,160.0,9.0,NEGATIVE,3
Email,Access Requests,N,219.0,8.0,NEGATIVE,3
Email,Accessories,N,0.0,12.0,NEGATIVE,3
Email,Accessories,N,0.0,12.0,NEGATIVE,3
Email,Accessories,N,0.0,12.0,,3
Email,Accessories,N,0.0,12.0,POSITIVE,3
Email,Access Requests,YYY,81.0,14.0,NEGATIVE,3
Email,Accessories,N,12.0,21.0,POSITIVE,3
Email,Accessories,N,0.0,12.0,,3
Email,Accessories,N,0.0,12.0,,3
Email,Accessories,N,0.0,12.0,NEGATIVE,3
Email,Accessories,N,0.0,12.0,,3
Email,Accessories,N,0.0,12.0,POSITIVE,3
Web,Accessories,N,57674.0,12.0,NEGATIVE,3
Web,Accessories,N,57674.0,12.0,,3
Web,Accessories,N,57674.0,12.0,POSITIVE,3
Email,Access Requests,N,176.0,11.0,,3
Email,Access Requests,N,176.0,11.0,POSITIVE,3
Email,Access Requests,N,0.0,14.0,,3
Email,Access Requests,N,59.0,16.0,,3
Web,Access Requests,N,1093.0,1.0,NEGATIVE,3
Web,Access Requests,N,1093.0,1.0,,3
Email,Access Requests,N,12.0,14.0,NEGATIVE,3
Email,Access Requests,N,12.0,14.0,POSITIVE,3
Email,Access Requests,N,0.0,14.0,POSITIVE,3
Email,Newhire Accounts,YY,984.2833333333333,20.0,NEGATIVE,3
Web,Access Requests,N,1093.0,1.0,NEGATIVE,3
Web,Access Requests,N,1093.0,1.0,,3
Email,Access Requests,N,0.0,14.0,,3
Email,Access Requests,N,176.0,11.0,,3
Email,Access Requests,N,176.0,11.0,POSITIVE,3
Email,Access Requests,N,2.0,11.0,NEGATIVE,3
Email,Access Requests,N,0.0,14.0,NEGATIVE,3
Email,Data Center Services,YY,242.38333333333333,14.0,NEGATIVE,3
Web,Access Requests,N,1093.0,1.0,POSITIVE,3
Email,Accessories,N,0.0,15.0,NEGATIVE,4
Email,Access Requests,N,60580.0,9.0,NEGATIVE,4
Email,Accessories,N,0.0,15.0,POSITIVE,4
Email,Accessories,N,0.0,15.0,POSITIVE,4
Email,Accessories,N,0.0,15.0,,4
Email,Accessories,N,0.0,15.0,NEGATIVE,4
Email,Access Requests,N,60580.0,9.0,NEGATIVE,4
Email,Access Requests,N,60580.0,9.0,NEGATIVE,4
Email,Access Requests,N,60580.0,9.0,NEGATIVE,4
Email,Access Requests,N,60580.0,9.0,NEGATIVE,4
Email,Accessories,N,0.0,15.0,NEGATIVE,4
Email,Accessories,N,0.0,15.0,POSITIVE,4
Email,Access Requests,N,1.0,18.0,NEGATIVE,4
Email,Access Requests,N,1705.0,8.0,,4
Email,Access Requests,N,1705.0,8.0,,4
Email,Access Requests,N,1705.0,8.0,NEGATIVE,4
Email,Access Requests,N,1558.0,13.0,POSITIVE,4
Email,Access Requests,N,1705.0,8.0,POSITIVE,4
Email,Access Requests,N,1705.0,8.0,,4
Email,Access Requests,N,1705.0,8.0,NEGATIVE,4
Email,Access Requests,N,1705.0,8.0,POSITIVE,4
Email,Access Requests,N,1705.0,8.0,NEGATIVE,4
Email,Access Requests,N,60580.0,9.0,,4
Email,Access Requests,N,60580.0,9.0,NEGATIVE,4
Email,Access Requests,N,1.0,18.0,POSITIVE,4
Email,Access Requests,N,1.0,18.0,,4
Email,Access Requests,N,1.0,18.0,POSITIVE,4
Email,Access Requests,N,1705.0,8.0,POSITIVE,4
Email,Access Requests,N,60580.0,9.0,NEGATIVE,4
Email,Network & Wireless,YY,62.0,12.0,NEGATIVE,4
Email,Access Requests,N,60580.0,9.0,,4
Web,Access Requests,N,87650.0,22.0,NEGATIVE,4
Web,Access Requests,N,87650.0,22.0,,4
Web,Access Requests,N,87650.0,22.0,POSITIVE,4
Web,Access Requests,N,87650.0,22.0,,4
Web,Access Requests,N,87650.0,22.0,,4
Web,Access Requests,N,87650.0,22.0,POSITIVE,4
Web,Access Requests,N,87650.0,22.0,POSITIVE,4
Web,Access Requests,N,87650.0,22.0,,4
Web,Access Requests,N,87650.0,22.0,,4
Web,Access Requests,N,87650.0,22.0,,4
Web,Access Requests,N,87650.0,22.0,,4
